domain,status,portfolio_group,language_market,est_value_low_usd,est_value_high_usd,defensible_value_note,brandability_1_10,sale_potential,buyer_categories_top3,top_buyers_with_dmps,sample_micro_message,notes
parardebeber.com,ACTIVE,Health/Wellness,ES,100,500,"$2,000 (anchor)",3,Low,Reframe; Monument; Sunnyside,Reframe (DMPS 85); Monument (DMPS 82); Sunnyside (DMPS 80),Reframe helps people stop drinking — parardebeber.com is the promise in Spanish. The premium domain says the goal in two words the user searches. ¿Vale la pena conversar?,
poweraiready.com,ACTIVE,General,EN,500,2000,"$2,000 (anchor)",3,Low,NVIDIA; CoreWeave; Lambda Labs,NVIDIA (DMPS 82); CoreWeave (DMPS 78); Lambda Labs (DMPS 75),NVIDIA powers the AI era — poweraiready.com is the brand for AI-ready infrastructure. The premium domain says the promise your customers need. Interested?,
quitesuacasa.com,ACTIVE,Real Estate/Mortgage,ES,500,3000,"$2,000 (anchor)",5,Medium,Brazilian home equity lending unicorn ($1B+ valu; Brazil's largest mortgage bank. Handles Minha Ca; Brazil's leading real estate platform ($5B+ valu,Creditas (DMPS 92); Caixa Econômica Federal (DMPS 90) — Carlos Vieira (President); QuintoAndar (DMPS 88),"Creditas helps people clear their debts — ""quite su casa"" is the promise of a mortgage resolved. The premium domain quitesuacasa.com names it. ¿Vale la pena conversar?",
rentahumanos.com,ACTIVE,Spanish/LatAm,ES,1000,5000,"$2,000 (anchor)",5,Medium,Workana; Freelancer.com (LatAm); SoyFreelancer,Workana (DMPS 88); Freelancer.com (LatAm) (DMPS 85); SoyFreelancer (DMPS 82),"Workana connects freelance talent — ""renta humanos"" names the freelance economy model. The premium domain rentahumanos.com says it clearly. ¿Vale la pena conversar?",
rentapersona.com,ACTIVE,Spanish/LatAm,ES,1000,5000,"$2,000 (anchor)",5,Medium,Care.com; Cuideo; Cronoshare,Care.com (DMPS 85); Cuideo (DMPS 82); Cronoshare (DMPS 80),Care.com connects families with caregivers — rentapersona.com is the Spanish name for that category. The premium domain names the service in the user's words. ¿Te interesa?,
roiexa.com,ACTIVE,Tech/General,EN,500,3000,"$2,000 (anchor)",5,Medium,HubSpot; Salesforce (Analytics); Ahrefs,HubSpot (DMPS 75); Salesforce (Analytics) (DMPS 72); Ahrefs (DMPS 70),HubSpot's analytics could go exact — roiexa.com is the ROI brand at exa-scale. The premium domain pairs ROI with precision marketers can measure. Curious?,
sandbagai.com,ACTIVE,AI/SaaS,EN,2000,6000,"$2,000 (anchor)",6,Medium,Anthropic; Conjecture; Safe Superintelligence,Anthropic (DMPS 78); Conjecture (DMPS 75); Safe Superintelligence (DMPS 72),Anthropic is the safety-first AI lab — sandbagai.com is the Spanish-market brand for trusted AI. The premium domain names the reliable assistant. ¿Te interesa?,
topaiguys.com,ACTIVE,General,EN,500,2000,"$2,000 (anchor)",4,Low,FutureTools (Matt Wolfe); There's An AI For That; AI Tool Hunt,FutureTools (Matt Wolfe) (DMPS 85) — Matt Wolfe (Founder); There's An AI For That (DMPS 82) — (Founder); AI Tool Hunt (DMPS 80) — (Founder),"Matt Wolfe reviews AI tools daily — topaiguys.com is the community brand for AI creators. The premium domain says ""top AI guys"" with personality. Interested?",
muyguay.com,ACTIVE,Spanish/LatAm,ES,500,2000,"$1,800 (anchor)",4,Low,Zara (Inditex); Mango; Vogue México,Zara (Inditex) (DMPS 85); Mango (DMPS 82); Vogue México (DMPS 78) — (Editor),"Zara dominates young fashion — ""muy guay"" is the expression of that audience. The premium domain muyguay.com speaks their language. ¿Te interesa conversar?",
muyloca.com,ACTIVE,Spanish/LatAm,ES,500,2000,"$1,800 (anchor)",4,Low,Univision (entertainment); TelevisaUnivision; Billboard Latin,Univision (entertainment) (DMPS 85) — (Entertainment SVP); TelevisaUnivision (DMPS 82); Billboard Latin (DMPS 78) — (Editor),"Univision entertains millions — muyloca.com is the brand for entertainment without limits. The premium domain says ""muy loca"" in two words that connect. ¿Vale la pena?",
muysabrosa.com,ACTIVE,Spanish/LatAm,ES,500,2000,"$1,800 (anchor)",4,Low,Goya Foods; Tastemade (Latin); Delish (Hearst),Goya Foods (DMPS 88); Tastemade (Latin) (DMPS 82) — (SVP); Delish (Hearst) (DMPS 78) — (Editor),"Goya Foods feeds the Hispanic palate — ""muy sabrosa"" is the word of that cuisine. The premium domain muysabrosa.com speaks that language. ¿Te interesa?",
nofailai.com,ACTIVE,AI/SaaS,ES,500,2000,"$1,800 (anchor)",4,Low,Datadog; PagerDuty; incident.io,Datadog (DMPS 90); PagerDuty (DMPS 88); incident.io (DMPS 85),Datadog's reliability mission — nofailai.com is the no-failure AI brand for the enterprise. The premium domain states the guarantee in two words. Open to a chat?,
dalai.co,ACTIVE,Lifestyle,ES,500,2000,"$1,750 (asking anchor $1,500-$2,000)",5,Low,Leading meditation/wellness app ($2B+); Major meditation/wellness platform; Leading free meditation app,Calm (DMPS 85) — David Ko (CEO); Headspace (DMPS 82) — Russell Glass (CEO); Insight Timer (DMPS 78) — Christopher Plowman (CEO),"Calm's mission is inner peace — dalai.co is a short, calm, six-letter name for a companion meditation brand. The premium domain fits your brand family and the promise of stillness. Curious?",
dalai.fit,ACTIVE,Lifestyle,ES,500,2000,"$1,750 (asking anchor $1,500-$2,000)",5,Low,Fitness/wellness apps (.fit niche); Wellness marketplace (Mindbody); Fitness app brand extension,MyFitnessPal (DMPS 68) — Mike Giancursio (SVP); Mindbody/ClassPass (DMPS 65) — Fritz Lanman (CEO); Sweat (DMPS 62) — Kayla Itsines,Calm is expanding into mindful movement — dalai.fit pairs peace with fitness. The premium domain is the brand for the intersection of meditation and health. Open to a chat?,
lahispano.net,ACTIVE,Hispanic Market,ES,500,2000,"$1,750 (asking anchor $1,500-$2,000)",4,Low,LA Hispanic media (.net redirect); LA's #1 Spanish-language station; Spanish-language newspaper,Univision Los Angeles (KMEX) (DMPS 92); Telemundo 52 (KVEA) (DMPS 90); La Opinión (DMPS 88),The Hispanic community of Los Angeles is the largest — lahispano.net names it in its own language. The premium domain is the digital brand that connects with that audience. ¿Vale la pena conversar?,
cdmx.bet,ACTIVE,Betting/Gambling,EN,500,2000,"$1,500 (anchor)",3,Low,Caliente; Codere (Mexico); Bet365 (Mexico),Caliente (DMPS 90); Codere (Mexico) (DMPS 88); Bet365 (Mexico) (DMPS 85),Caliente dominates betting in Mexico — cdmx.bet is the brand for the capital's market. The premium domain names the exact city and market in one phrase. ¿Te interesa conversar?,
paguesucasa.com,ACTIVE,Real Estate/Mortgage,ES,1000,5000,"$1,500 (anchor)",6,Medium,"""Pague su casa"" = formal banking language. Chase; Formal Spanish. Rebuilding trust. Professional t","JPMorgan Chase (DMPS 88) — Mark O'Donovan (CEO, Home Lending); Rocket Mortgage (DMPS 85); Wells Fargo (DMPS 85)","Rocket Mortgage wants Hispanic homebuyers — paguesucasa.com is ""pay your house"" in the client's language. The premium domain names the goal. ¿Te interesa?",
teapuesto.bet,ACTIVE,Betting/Gambling,ES,500,2000,"$1,500 (anchor)",4,Low,"Largest sportsbook. Adding social betting. ""Te a; DFS + sportsbook. Social/pool betting features.; Mexico's #1 sportsbook. Social betting among Mex",Bet365 (Social features) (DMPS 88) — Denise Coates; FanDuel (DMPS 86) — Amy Howe; Caliente (DMPS 85) — Emilio Hank,"Bet365 domina las apuestas — ""te apuesto"" es la frase del apostador en todo el mundo hispano. El dominio premium teapuesto.bet habla ese idioma. ¿Vale la pena conversar?",
teapuesto.casino,ACTIVE,Betting/Gambling,ES,500,1500,"$1,200 (anchor)",3,Low,Spanish/LATAM casino + sports. Social casino pot; Mexico's #1. Social casino with friends.; Spanish online casino. Social features growing.,Codere (DMPS 86) — Gonzaga Higuero; Caliente (DMPS 84) — Emilio Hank; PlayUZU (DMPS 82) — (CEO — needs LLM),"Codere lidera el casino hispano — ""te apuesto"" es la voz del jugador que busca emoción. El dominio premium teapuesto.casino la convierte en marca. ¿Te interesa conversar?",
teapuesto.xyz,ACTIVE,Betting/Gambling,ES,100,500,$800 (anchor),3,Low,"#1 prediction market. ""Te apuesto"" = social pred; Largest crypto casino. LATAM social betting.; Crypto casino. LATAM social features.",Polymarket (DMPS 85) — Shayne Coplan; Stake.com (DMPS 84) — (CEO — needs LLM); BC.Game (DMPS 80) — (CEO — needs LLM),"Polymarket is growing prediction markets — ""te apuesto"" is the phrase of the market. The premium domain teapuesto.xyz speaks that language. ¿Te interesa conversar?",
agisunrise.com,ACTIVE,General,EN,100,500,$400 (anchor),3,Low,OpenAI; Anthropic; DeepMind (Google),OpenAI (DMPS 70); Anthropic (DMPS 68); DeepMind (Google) (DMPS 65),"OpenAI is building toward AGI — agisunrise.com names the dawn of that era. The premium domain is the brand for the sunrise moment of general intelligence, before anyone else claims it. Curious?",
exaroi.com,ACTIVE,General,EN,100,500,$400 (anchor),3,Low,ROI Solutions; ROI Hunter; ClickFunnels,ROI Solutions (DMPS 60); ROI Hunter (DMPS 55); ClickFunnels (DMPS 50),ROI Solutions lives in the ROI analytics space — exaroi.com is the clean six-letter brand for it. The premium domain upgrades a generic name into something ownable. Curious?,
racita.com,ACTIVE,General,ES,100,500,$400 (anchor),3,Low,Rita's Italian Ice; SquadHelp (brandable); BrandBucket,Rita's Italian Ice (DMPS 58); SquadHelp (brandable) (DMPS 55); BrandBucket (DMPS 52),"Rita's Italian Ice built a beloved brand — racita.com is the playful extension for the Latin market. The premium domain says ""little Rita"" with affection. Curious?",
leanmeds.com,SOLD,Weight Loss,EN,,,"$24,000 (asking anchor $20,000-$28,000)",,,Raised $1B+; Public company (HIMS); Pivoted to clinical weight loss with Noom Med,Ro (Roman) (DMPS 95) — Zachariah Reitano (CEO & Co-Founder); Hims & Hers (DMPS 93) — Andrew Dudum (CEO & Co-Founder); Noom (DMPS 88),"Ro Body's GLP-1 line is exactly what LeanMeds.com names — lean medication, direct to consumer. The premium domain says the offer in two words. Worth a conversation?",SOLD via Spaceship (Trinity HealthCare Supply). No outreach.
